,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name,ground_clearance_mm,height
0,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet chevelle malibu,198.99125168804318,2354.830005575066
1,15.0,8,350.0,165.0,3693,11.5,70,usa,buick skylark 320,154.59448441944778,2273.383572546694
2,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth satellite,185.3606397378436,2607.497867922757
3,16.0,8,304.0,150.0,3433,12.0,70,usa,amc rebel sst,159.03191308245454,2774.271298363952
4,17.0,8,302.0,140.0,3449,10.5,70,usa,ford torino,169.08979689260838,2936.9556334716153
5,15.0,8,429.0,198.0,4341,10.0,70,usa,ford galaxie 500,169.39968593483079,2076.9987854105248
6,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet impala,156.2814173954971,2368.15524561288
7,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth fury iii,170.38312115167668,2708.840754057774
8,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac catalina,163.77946845811132,2038.8670283146878
9,15.0,8,390.0,190.0,3850,8.5,70,usa,amc ambassador dpl,188.49946735205504,2616.907935763868
10,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge challenger se,156.67046844472745,2067.0021850286676
11,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth 'cuda 340,193.33466961822154,2518.6148260020786
12,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet monte carlo,180.01377269001682,2821.8570593258773
13,14.0,8,455.0,225.0,3086,10.0,70,usa,buick estate wagon (sw),163.41650282865615,2580.7352916439945
14,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota corona mark ii,150.17523424252397,2791.9075767309023
15,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth duster,186.7417293543931,2687.7530777584034
16,18.0,6,199.0,97.0,2774,15.5,70,usa,amc hornet,190.9280581922358,2110.1525831109084
17,21.0,6,200.0,85.0,2587,16.0,70,usa,ford maverick,197.43502486425143,2891.699887021028
18,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun pl510,178.74040045494954,2563.7290646099214
19,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,164.2760001228339,2669.894187765895
20,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot 504,166.29469913566604,2573.115623838762
21,24.0,4,107.0,90.0,2430,14.5,70,europe,audi 100 ls,184.178701137863,2183.3592976497825
22,25.0,4,104.0,95.0,2375,17.5,70,europe,saab 99e,171.4005676436954,2918.7358191224375
23,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw 2002,166.32038993132576,2940.0174555294902
24,21.0,6,199.0,90.0,2648,15.0,70,usa,amc gremlin,171.4111823160686,2091.651926645565
25,10.0,8,360.0,215.0,4615,14.0,70,usa,ford f250,181.25278594215885,2069.604765246329
26,10.0,8,307.0,200.0,4376,15.0,70,usa,chevy c20,197.76640377594657,2994.41350601545
27,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge d200,182.0640424062336,2364.6731076653305
28,9.0,8,304.0,193.0,4732,18.5,70,usa,hi 1200d,158.3305821303486,2652.008780122016
29,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun pl510,154.56173488748206,2935.243023891721
30,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet vega 2300,153.41991658101375,2888.909336754734
31,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota corona,167.5100465305154,2360.854524159503
32,25.0,4,98.0,,2046,19.0,71,usa,ford pinto,194.8424736599564,2676.8249968442115
33,19.0,6,232.0,100.0,2634,13.0,71,usa,amc gremlin,181.95908283129899,2278.2641278944548
34,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth satellite custom,193.91779970546187,2820.789435751146
35,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet chevelle malibu,163.47639341021272,2626.8163084661546
36,19.0,6,250.0,88.0,3302,15.5,71,usa,ford torino 500,155.36738047687683,2426.392321016723
37,18.0,6,232.0,100.0,3288,15.5,71,usa,amc matador,191.3106370518577,2175.3272101471994
38,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet impala,172.2942434275379,2389.934268224463
39,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac catalina brougham,154.50706423917788,2838.061868739629
40,14.0,8,351.0,153.0,4154,13.5,71,usa,ford galaxie 500,172.49276558563213,2689.070360077372
41,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth fury iii,190.4019527280239,2202.630908041684
42,12.0,8,383.0,180.0,4955,11.5,71,usa,dodge monaco (sw),168.10734928102318,2198.3958646048286
43,13.0,8,400.0,170.0,4746,12.0,71,usa,ford country squire (sw),150.98328994125367,2870.3716259361913
44,13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac safari (sw),190.46403720788788,2300.9464992755625
45,18.0,6,258.0,110.0,2962,13.5,71,usa,amc hornet sportabout (sw),193.0546415622429,2479.998111699666
46,22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet vega (sw),176.45272567702318,2382.9921718325586
47,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird,196.38389580094127,2932.5710232968404
48,18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang,169.89820348057594,2176.853049928035
49,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000,194.9860471457261,2019.023166508151
50,28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900,195.52054835425014,2273.412110361335
51,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304,198.5910409553355,2493.6202718570685
52,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b,192.3800398049617,2540.9819228541064
53,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200,171.91246923965844,2327.0150203904936
54,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200,156.1081160279439,2446.973969909781
55,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111,184.57264932757568,2691.760956502375
56,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket,197.69437964987318,2906.9233464737995
57,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop,170.10085038840552,2595.3535975604814
58,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop,179.04106766883433,2546.4224834842444
59,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3,190.8550443120123,2546.955971348378
60,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega,178.2140812479753,2560.3825948124586
61,21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout,175.80887582073842,2941.1611788048513
62,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala,195.9369994723021,2642.169363609034
63,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina,194.55545484926617,2533.240720279474
64,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii,194.74835350640134,2677.5612363768146
65,14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500,193.09731603645707,2567.684764924001
66,17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst,154.97328018440183,2018.6119630791836
67,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis,192.47330136745174,2738.361057643301
68,13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom,156.1577167106422,2437.7398790321017
69,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88 royale,186.18806666836812,2734.746035447519
70,13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal,198.420151589652,2006.8715640903706
71,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe,157.17869818626124,2340.4310796528225
72,15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador (sw),159.68049036832178,2144.767164795278
73,13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),184.60379659574375,2034.9061657692844
74,13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino (sw),150.9119825571103,2359.732853273535
75,14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom (sw),154.8979674548489,2355.9569523056457
76,18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e (sw),157.17733632517607,2284.956473241298
77,22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411 (sw),155.92226504689236,2686.0661287416665
78,21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504 (sw),158.00305950574082,2340.5559690555683
79,26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12 (sw),198.9521859153339,2185.4359994935376
80,22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto (sw),190.5759815584303,2993.5863189074007
81,28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510 (sw),154.171483641541,2906.6980161635747
82,23.0,4,120.0,97.0,2506,14.5,72,japan,toyouta corona mark ii (sw),193.79451396725472,2880.8566370757476
83,28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt (sw),164.27602390025422,2009.2684360733208
84,27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600 (sw),186.27012581856494,2744.648700399789
85,13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350,165.20197223016868,2919.784497871752
86,14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador,172.75480193954985,2015.1241375216864
87,13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu,153.39904317102366,2023.610435812308
88,14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino,172.2808718886374,2309.0390356543194
89,15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom,157.79079497293904,2345.2794318097967
90,12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham,179.2851707700947,2000.8586457173644
91,13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic,198.86284554953943,2843.6288462797997
92,13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd,169.26850209240027,2474.2996746127083
93,14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan,187.64602504705186,2886.476276970754
94,13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker brougham,158.331331032185,2928.982428547969
95,12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom,171.61522465205869,2011.4945011704701
96,13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham,183.11215084264245,2628.203053565028
97,18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant,188.5246179147821,2886.9820704504136
98,16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom,198.74522612020328,2982.7009128945747
99,18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet,159.88836609725774,2877.4075875602753
100,18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick,165.12176065116802,2877.2546049650086
101,23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster,151.53021395275093,2808.4821814441825
102,26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle,163.11338182972958,2340.776809533276
103,11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet impala,196.47929263987533,2713.1493967585116
104,12.0,8,400.0,167.0,4906,12.5,73,usa,ford country,174.60178510705495,2876.833643421362
105,13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth custom suburb,170.84115603835014,2189.5419649853407
106,12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile vista cruiser,163.30431332583996,2126.348863493689
107,18.0,6,232.0,100.0,2789,15.0,73,usa,amc gremlin,165.04079835047125,2207.547763930456
108,20.0,4,97.0,88.0,2279,19.0,73,japan,toyota carina,172.7962916211003,2085.745176076629
109,21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet vega,180.9262405377664,2673.4444060172777
110,22.0,4,108.0,94.0,2379,16.5,73,japan,datsun 610,195.72713944891842,2714.424820452774
111,18.0,3,70.0,90.0,2124,13.5,73,japan,maxda rx3,180.96020329319703,2791.395025383534
112,19.0,4,122.0,85.0,2310,18.5,73,usa,ford pinto,193.2149250468587,2612.648310297791
113,21.0,6,155.0,107.0,2472,14.0,73,usa,mercury capri v6,185.31602998223084,2257.5926026353045
114,26.0,4,98.0,90.0,2265,15.5,73,europe,fiat 124 sport coupe,197.28329603006063,2642.9640045686556
115,15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet monte carlo s,159.60246014102404,2217.15053742888
116,16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac grand prix,150.99126311570228,2490.461209749518
117,29.0,4,68.0,49.0,1867,19.5,73,europe,fiat 128,170.4183999625991,2874.603566751918
118,24.0,4,116.0,75.0,2158,15.5,73,europe,opel manta,178.01058972096928,2968.0803626861148
119,20.0,4,114.0,91.0,2582,14.0,73,europe,audi 100ls,181.23649765577966,2803.0594066525537
120,19.0,4,121.0,112.0,2868,15.5,73,europe,volvo 144ea,164.4797771056738,2489.845388448037
121,15.0,8,318.0,150.0,3399,11.0,73,usa,dodge dart custom,182.40122617718524,2093.743270965564
122,24.0,4,121.0,110.0,2660,14.0,73,europe,saab 99le,172.9417710574539,2162.6470293399716
123,20.0,6,156.0,122.0,2807,13.5,73,japan,toyota mark ii,182.48302318406593,2084.1263358091355
124,11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile omega,194.6295832072689,2605.2959353405467
125,20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth duster,173.4912295757668,2731.0186240805647
126,21.0,6,200.0,,2875,17.0,74,usa,ford maverick,198.85431631715784,2939.5688816050547
127,19.0,6,232.0,100.0,2901,16.0,74,usa,amc hornet,197.99089549063513,2120.0740481475914
128,15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet nova,197.2860221661506,2609.922337905562
129,31.0,4,79.0,67.0,1950,19.0,74,japan,datsun b210,169.70875287742376,2432.0712090534394
130,26.0,4,122.0,80.0,2451,16.5,74,usa,ford pinto,195.0615616881512,2022.3452869260607
131,32.0,4,71.0,65.0,1836,21.0,74,japan,toyota corolla 1200,171.72243692326072,2497.1272917240863
132,25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet vega,198.0844934767033,2706.3174777418403
133,16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet chevelle malibu classic,195.78876058247772,2946.350797282429
134,16.0,6,258.0,110.0,3632,18.0,74,usa,amc matador,199.80710797713778,2527.730137864535
135,18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth satellite sebring,179.64104860660171,2238.1433439841617
136,16.0,8,302.0,140.0,4141,14.0,74,usa,ford gran torino,194.9957735335037,2847.0348945650644
137,13.0,8,350.0,150.0,4699,14.5,74,usa,buick century luxus (sw),159.44228449247743,2004.6366592392874
138,14.0,8,318.0,150.0,4457,13.5,74,usa,dodge coronet custom (sw),191.11323446980396,2458.2410623041587
139,14.0,8,302.0,140.0,4638,16.0,74,usa,ford gran torino (sw),196.2708101491726,2627.8821156304275
140,14.0,8,304.0,150.0,4257,15.5,74,usa,amc matador (sw),155.81967487213143,2105.8022494117413
141,29.0,4,98.0,83.0,2219,16.5,74,europe,audi fox,157.70517489604103,2784.1655264763385
142,26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen dasher,164.03949702313287,2914.536646081724
143,26.0,4,97.0,78.0,2300,14.5,74,europe,opel manta,186.3500068727472,2787.8161559408463
144,31.0,4,76.0,52.0,1649,16.5,74,japan,toyota corona,172.95648529700935,2440.4071511100738
145,32.0,4,83.0,61.0,2003,19.0,74,japan,datsun 710,165.90880299460284,2137.469752144976
146,28.0,4,90.0,75.0,2125,14.5,74,usa,dodge colt,168.92326209746602,2683.9348282098626
147,24.0,4,90.0,75.0,2108,15.5,74,europe,fiat 128,192.3130556751487,2296.880561732214
148,26.0,4,116.0,75.0,2246,14.0,74,europe,fiat 124 tc,155.6956707350219,2057.334969054442
149,24.0,4,120.0,97.0,2489,15.0,74,japan,honda civic,156.9526575983249,2414.009008594709
150,26.0,4,108.0,93.0,2391,15.5,74,japan,subaru,188.43865830294007,2589.8138794232596
151,31.0,4,79.0,67.0,2000,16.0,74,europe,fiat x1.9,188.76493626696865,2292.746181959026
152,19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth valiant custom,190.59649699300522,2268.4983117479114
153,18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet nova,162.7515107413885,2681.605723366707
154,15.0,6,250.0,72.0,3432,21.0,75,usa,mercury monarch,183.03681922123292,2870.3649754770045
155,15.0,6,250.0,72.0,3158,19.5,75,usa,ford maverick,176.29561896072534,2525.7849584755686
156,16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac catalina,165.7181785182129,2760.148245892845
157,15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet bel air,152.55837057787298,2332.4966649230773
158,16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth grand fury,166.49446487106493,2150.3984990361528
159,14.0,8,351.0,148.0,4657,13.5,75,usa,ford ltd,190.8137949107559,2201.0115300483358
160,17.0,6,231.0,110.0,3907,21.0,75,usa,buick century,158.65811070199277,2711.98113889659
161,16.0,6,250.0,105.0,3897,18.5,75,usa,chevroelt chevelle malibu,154.37754892178702,2240.209965809578
162,15.0,6,258.0,110.0,3730,19.0,75,usa,amc matador,177.5791727854288,2250.8367739966075
163,18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth fury,166.76185009262343,2613.3466935722254
164,21.0,6,231.0,110.0,3039,15.0,75,usa,buick skyhawk,180.38782757049194,2961.9708244637086
165,20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet monza 2+2,193.08966835215963,2418.0884945029097
166,13.0,8,302.0,129.0,3169,12.0,75,usa,ford mustang ii,173.82133962200712,2138.4584153384135
167,29.0,4,97.0,75.0,2171,16.0,75,japan,toyota corolla,184.34961286706346,2219.3976516344183
168,23.0,4,140.0,83.0,2639,17.0,75,usa,ford pinto,152.24873390471464,2609.419891863503
169,20.0,6,232.0,100.0,2914,16.0,75,usa,amc gremlin,171.56103493754293,2798.377360580256
170,23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac astro,194.4046686805716,2880.138161355255
171,24.0,4,134.0,96.0,2702,13.5,75,japan,toyota corona,180.27577984405957,2905.560711774925
172,25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen dasher,155.11439406256687,2987.9413784967564
173,24.0,4,119.0,97.0,2545,17.0,75,japan,datsun 710,173.3516302577919,2990.851179944979
174,18.0,6,171.0,97.0,2984,14.5,75,usa,ford pinto,172.33237741983032,2085.86910960958
175,29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen rabbit,183.6996854020798,2121.9071935468824
176,19.0,6,232.0,90.0,3211,17.0,75,usa,amc pacer,190.0679106934047,2319.0511832593033
177,23.0,4,115.0,95.0,2694,15.0,75,europe,audi 100ls,157.16417247803372,2478.4436657741603
178,23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot 504,184.2727595124761,2250.327248211607
179,22.0,4,121.0,98.0,2945,14.5,75,europe,volvo 244dl,150.3350178569792,2921.438745975378
180,25.0,4,121.0,115.0,2671,13.5,75,europe,saab 99le,151.24025685216546,2908.3131595425425
181,33.0,4,91.0,53.0,1795,17.5,75,japan,honda civic cvcc,170.09968180439736,2243.53694736237
182,28.0,4,107.0,86.0,2464,15.5,76,europe,fiat 131,179.31810408421867,2481.7723555987004
183,25.0,4,116.0,81.0,2220,16.9,76,europe,opel 1900,161.1744666848987,2549.1490866715067
184,25.0,4,140.0,92.0,2572,14.9,76,usa,capri ii,178.8730035199676,2549.4095852987766
185,26.0,4,98.0,79.0,2255,17.7,76,usa,dodge colt,192.7390560162861,2439.0555259550765
186,27.0,4,101.0,83.0,2202,15.3,76,europe,renault 12tl,156.59873015654193,2710.5175813167843
187,17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet chevelle malibu classic,172.81900725342788,2197.9780141172023
188,16.0,8,318.0,150.0,4190,13.0,76,usa,dodge coronet brougham,174.8895477155566,2542.2186636842234
189,15.5,8,304.0,120.0,3962,13.9,76,usa,amc matador,168.277052545144,2744.300402208472
190,14.5,8,351.0,152.0,4215,12.8,76,usa,ford gran torino,192.53044114576073,2130.075387910946
191,22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth valiant,192.4586198924875,2505.1838886140795
192,22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet nova,166.1416456226642,2068.073415691298
193,24.0,6,200.0,81.0,3012,17.6,76,usa,ford maverick,181.69511510524745,2816.674923726916
194,22.5,6,232.0,90.0,3085,17.6,76,usa,amc hornet,187.53329734234995,2870.3756379427905
195,29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet chevette,172.5913935559356,2526.914355133871
196,24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet woody,183.93508883258897,2090.7866873339062
197,29.0,4,90.0,70.0,1937,14.2,76,europe,vw rabbit,166.60970117016907,2635.377472565172
198,33.0,4,91.0,53.0,1795,17.4,76,japan,honda civic,177.60498392451112,2417.3683259858226
199,20.0,6,225.0,100.0,3651,17.7,76,usa,dodge aspen se,165.83341901345116,2797.040306767585
